cpu_usage,label
2.5,0
3.63,0
1.01,0
3.01,0
0.64,0
2.02,0
1.18,0
1.37,0
1.28,0
1.48,0
1.16,0
8.1,0
1.31,0
2.41,0
13.39,0
2.2,0
7.28,0
2.14,0
27.8,0
5.16,0
1.4,0
1.79,0
3.21,0
1.27,0
0.72,0
1.72,0
2.9,0
0.91,0
1.58,0
2.05,0
1.37,0
2.88,0
1.11,0
9.54,0
5.2,0
1.06,0
3.88,0
1.75,0
0.84,0
4.12,0
1.05,0
3.04,0
6.32,0
2.61,0
1.73,0
0.98,0
1.17,0
4.24,0
5.31,0
1.32,0
3.07,0
2.36,0
2.02,0
1.25,0
1.41,0
2.0,0
1.51,0
2.73,0
1.66,0
1.12,0
1.55,0
1.49,0
1.72,0
4.04,0
6.74,0
2.35,0
2.04,0
1.81,0
2.37,0
4.03,0
11.63,0
32.62,1
1.23,0
0.18,0
3.29,0
8.66,0
15.47,0
4.02,0
1.21,0
8.13,0
3.82,0
19.25,0
0.24,0
7.0,0
1.03,0
0.56,0
30.41,1
6.44,0
3.6,0
1.03,0
0.4,0
0.96,0
2.06,0
17.45,0
16.54,0
3.64,0
1.23,0
6.98,0
1.02,0
44.08,1
5.26,0
11.93,0
18.24,0
11.5,0
10.44,0
13.96,0
7.88,0
10.08,0
11.09,0
4.43,0
1.33,0
2.85,0
2.7,0
21.8,0
1.73,0
0.67,0
26.84,0
1.77,0
14.86,0
13.18,0
9.32,0
2.05,0
22.21,0
6.75,0
3.8,0
35.27,1
18.92,0
65.04,1
4.92,0
4.15,0
44.14,1
0.94,0
2.2,0
0.37,0
3.05,0
3.79,0
26.67,0
8.14,0
1.61,0
5.07,0
5.84,0
50.53,1
6.06,0
3.58,0
6.19,0
4.83,0
2.4,0
4.12,0
0.46,0
6.85,0
1.77,0
2.34,0
1.84,0
5.08,0
6.23,0
4.41,0
1.67,0
10.75,0
2.66,0
6.35,0
14.14,0
3.26,0
2.03,0
11.34,0
11.32,0
2.0,0
3.41,0
4.58,0
3.15,0
1.1,0
1.4,0
4.04,0
0.72,0
22.84,0
11.56,0
7.72,0
1.04,0
4.18,0
1.0,0
5.05,0
1.48,0
0.73,0
10.62,0
4.93,0
2.51,0
31.49,1
0.53,0
13.57,0
3.17,0
2.17,0
7.68,0
7.19,0
1.2,0
34.55,1
10.44,0
8.36,0
8.05,0
0.61,0
14.02,0
16.11,0
5.68,0
0.94,0
9.41,0
9.46,0
4.67,0
5.94,0
