Host	CPU Usage (%)	Time
ACI22	2.5	2025-09-03T05:30:00Z
ACL12	3.63	2025-09-09T01:35:00Z
ACL13	1.01	2025-09-09T01:35:00Z
ACL14	3.01	2025-09-09T01:25:00Z
ACL16	0.64	2025-09-03T05:20:00Z
ACL17	2.02	2025-09-03T05:15:00Z
ACL18	1.18	2025-09-03T05:15:00Z
ACL19	1.37	2025-09-03T23:25:00Z
ACL20	1.28	2025-09-03T05:15:00Z
ACL21	1.48	2025-09-03T23:10:00Z
ACL23	1.16	2025-09-03T23:50:00Z
ACL24	8.1	2025-09-03T23:25:00Z
ACL28	1.31	2025-09-09T01:50:00Z
ACL29	2.41	2025-09-03T05:25:00Z
ACL3	13.39	2025-09-22T04:00:00Z
ACL30	2.2	2025-09-03T23:40:00Z
ACL5	7.28	2025-09-03T23:45:00Z
ACL7	2.14	2025-09-09T01:45:00Z
ACL8	27.8	2025-09-03T05:45:00Z
ACL9	5.16	2025-09-09T01:40:00Z
AIML-001	1.4	2025-09-04T05:15:00Z
AIML-002	1.79	2025-09-04T10:45:00Z
AIML-003	3.21	2025-09-08T06:15:00Z
AIML-005	1.27	2025-09-04T05:05:00Z
AIML-006	0.72	2025-09-04T17:40:00Z
AIML-007	1.72	2025-09-04T10:45:00Z
AIML-008	2.9	2025-09-04T10:55:00Z
AIML-010	0.91	2025-09-04T10:55:00Z
AIML-012	1.58	2025-09-04T10:50:00Z
AIML-013	2.05	2025-09-04T10:50:00Z
AIML-014	1.37	2025-09-04T11:00:00Z
AIML-015	2.88	2025-09-04T05:35:00Z
AIML-016	1.11	2025-09-04T05:30:00Z
AIML-017	9.54	2025-09-08T00:56:55Z
AIML-018	5.2	2025-09-04T10:55:00Z
AIML-019	1.06	2025-09-04T10:55:00Z
AIML-020	3.88	2025-09-04T11:10:00Z
AIML-021	1.75	2025-09-04T05:45:00Z
AIML-023	0.84	2025-09-04T11:05:00Z
AIML-024	4.12	2025-09-04T11:10:00Z
AIML-025	1.05	2025-09-14T23:05:00Z
AIML-026	3.04	2025-09-04T04:45:00Z
AIML-027	6.32	2025-09-04T10:10:00Z
AIML-028	2.61	2025-09-04T04:20:00Z
AIML-029	1.73	2025-09-04T04:40:00Z
AIML-030	0.98	2025-09-04T10:10:00Z
AIML-031	1.17	2025-09-04T10:05:00Z
AIML-032	4.24	2025-09-04T04:25:00Z
AIML-033	5.31	2025-09-04T04:25:00Z
AIML-034	1.32	2025-09-04T09:55:00Z
AIML-035	3.07	2025-09-04T09:50:00Z
AIML-036	2.36	2025-09-04T04:20:00Z
AIML-037	2.02	2025-09-04T04:30:00Z
AIML-038	1.25	2025-09-04T04:35:00Z
AIML-039	1.41	2025-09-04T04:35:00Z
AIML-040	2	2025-09-04T10:05:00Z
AIML-041	1.51	2025-09-04T04:50:00Z
AIML-042	2.73	2025-09-01T09:20:00Z
AIML-043	1.66	2025-09-04T10:20:00Z
AIML-044	1.12	2025-09-04T10:30:00Z
AIML-045	1.55	2025-09-04T10:25:00Z
AIML-046	1.49	2025-09-04T10:35:00Z
AIML-047	1.72	2025-09-04T11:15:00Z
AIML-049	4.04	2025-09-08T00:37:37Z
AIML-050	6.74	2025-09-11T04:17:32Z
Acl1	2.35	2025-09-09T01:45:00Z
Acl25	2.04	2025-09-09T07:20:00Z
Acl26	1.81	2025-09-09T14:15:00Z
Acl27	2.37	2025-09-03T05:40:00Z
CPL1	4.03	2025-09-04T00:50:00Z
CPL12	11.63	2025-09-09T04:10:00Z
CPL13	32.62	2025-09-09T03:55:00Z
CPL14	1.23	2025-09-09T03:55:00Z
CPL15	0.18	2025-09-03T19:25:00Z
CPL16	3.29	2025-09-09T04:10:00Z
CPL19	8.66	2025-09-09T04:10:00Z
CPL2	15.47	2025-09-04T00:50:00Z
CPL20	4.02	2025-09-04T00:55:00Z
CPL21	1.21	2025-09-09T04:00:00Z
CPL22	8.13	2025-09-04T21:45:00Z
